values,time
19.99996,2021-03-13T03:54:16Z
19.0017,2021-03-13T03:54:46Z
19.99996,2021-03-13T03:57:17Z
19.0017,2021-03-13T03:58:17Z
21.00256,2021-03-13T03:58:47Z
22.00082,2021-03-13T03:59:28Z
19.99996,2021-03-13T04:00:38Z
19.0017,2021-03-13T04:01:38Z
19.99996,2021-03-13T04:01:49Z
18.00343,2021-03-13T04:02:19Z
19.99996,2021-03-13T04:03:09Z
18.00343,2021-03-13T04:03:19Z
19.0017,2021-03-13T04:03:59Z
18.00343,2021-03-13T04:04:50Z
19.0017,2021-03-13T04:05:00Z
18.00343,2021-03-13T04:05:40Z
19.0017,2021-03-13T04:06:00Z
18.00343,2021-03-13T04:06:30Z
19.99996,2021-03-13T04:07:00Z
18.00343,2021-03-13T04:07:41Z
19.0017,2021-03-13T04:08:31Z
18.00343,2021-03-13T04:08:51Z
19.0017,2021-03-13T04:10:12Z
18.00343,2021-03-13T04:10:22Z
19.0017,2021-03-13T04:12:33Z
18.00343,2021-03-13T04:13:43Z
19.0017,2021-03-13T04:14:23Z
18.00343,2021-03-13T04:14:53Z
19.0017,2021-03-13T04:15:34Z
18.00343,2021-03-13T04:16:54Z
19.0017,2021-03-13T04:17:34Z
19.99996,2021-03-13T04:17:55Z
19.0017,2021-03-13T04:18:25Z
18.00343,2021-03-13T04:18:35Z
19.0017,2021-03-13T04:18:45Z
18.00343,2021-03-13T04:19:55Z
19.0017,2021-03-13T04:20:25Z
19.99996,2021-03-13T04:21:56Z
19.0017,2021-03-13T04:22:16Z
21.00256,2021-03-13T04:23:17Z
19.99996,2021-03-13T04:23:27Z
19.0017,2021-03-13T04:24:27Z
19.99996,2021-03-13T04:25:47Z
19.0017,2021-03-13T04:26:28Z
19.99996,2021-03-13T04:26:38Z
19.0017,2021-03-13T04:27:08Z
19.99996,2021-03-13T04:27:28Z
19.0017,2021-03-13T04:28:28Z
18.00343,2021-03-13T04:29:09Z
19.0017,2021-03-13T04:29:29Z
19.99996,2021-03-13T04:29:49Z
19.0017,2021-03-13T04:30:29Z
19.99996,2021-03-13T04:30:39Z
19.0017,2021-03-13T04:32:10Z
19.99996,2021-03-13T04:32:30Z
19.0017,2021-03-13T04:32:50Z
19.99996,2021-03-13T04:35:01Z
19.0017,2021-03-13T04:35:11Z
19.99996,2021-03-13T04:35:41Z
18.00343,2021-03-13T04:38:42Z
17.00083,2021-03-13T04:40:03Z
18.00343,2021-03-13T04:40:23Z
17.00083,2021-03-13T04:40:43Z
19.0017,2021-03-13T04:41:23Z
17.00083,2021-03-13T04:42:14Z
18.00343,2021-03-13T04:42:34Z
17.00083,2021-03-13T04:43:24Z
18.00343,2021-03-13T04:44:55Z
17.00083,2021-03-13T04:45:05Z
18.00343,2021-03-13T04:45:25Z
17.00083,2021-03-13T04:45:45Z
17.00083,2021-03-13T04:46:35Z
18.00343,2021-03-13T04:47:06Z
19.0017,2021-03-13T04:47:46Z
18.00343,2021-03-13T04:47:56Z
19.99996,2021-03-13T04:49:16Z
19.0017,2021-03-13T04:49:37Z
18.00343,2021-03-13T04:50:07Z
19.0017,2021-03-13T04:50:47Z
18.00343,2021-03-13T04:51:17Z
19.99996,2021-03-13T04:51:37Z
18.00343,2021-03-13T04:52:18Z
19.0017,2021-03-13T04:52:38Z
18.00343,2021-03-13T04:52:58Z
19.0017,2021-03-13T04:54:18Z
17.00083,2021-03-13T04:55:19Z
19.0017,2021-03-13T04:57:19Z
18.00343,2021-03-13T04:57:30Z
19.99996,2021-03-13T04:57:40Z
19.0017,2021-03-13T05:00:11Z
19.99996,2021-03-13T05:00:21Z
19.0017,2021-03-13T05:01:01Z
19.99996,2021-03-13T05:01:21Z
18.00343,2021-03-13T05:01:31Z
19.0017,2021-03-13T05:02:31Z
17.00083,2021-03-13T05:03:02Z
16.00257,2021-03-13T05:03:22Z
16.00257,2021-03-13T05:03:42Z
17.00083,2021-03-13T05:04:22Z
16.00257,2021-03-13T05:05:53Z
18.00343,2021-03-13T05:06:33Z
19.0017,2021-03-13T05:07:13Z
17.00083,2021-03-13T05:07:23Z
17.00083,2021-03-13T05:08:14Z
18.00343,2021-03-13T05:08:44Z
19.0017,2021-03-13T05:09:04Z
17.00083,2021-03-13T05:10:14Z
19.0017,2021-03-13T05:11:05Z
18.00343,2021-03-13T05:11:45Z
17.00083,2021-03-13T05:12:05Z
18.00343,2021-03-13T05:12:55Z
17.00083,2021-03-13T05:13:36Z
16.00257,2021-03-13T05:14:36Z
17.00083,2021-03-13T05:14:56Z
16.00257,2021-03-13T05:15:46Z
17.00083,2021-03-13T05:15:56Z
16.00257,2021-03-13T05:18:37Z
17.00083,2021-03-13T05:18:47Z
14.99997,2021-03-13T05:19:28Z
16.00257,2021-03-13T05:19:38Z
14.99997,2021-03-13T05:21:28Z
16.00257,2021-03-13T05:21:39Z
17.00083,2021-03-13T05:22:59Z
16.00257,2021-03-13T05:23:19Z
17.00083,2021-03-13T05:26:30Z
16.00257,2021-03-13T05:27:01Z
17.00083,2021-03-13T05:27:51Z
16.00257,2021-03-13T05:28:21Z
17.00083,2021-03-13T05:28:31Z
16.00257,2021-03-13T05:30:12Z
17.00083,2021-03-13T05:30:32Z
18.00343,2021-03-13T05:35:34Z
17.00083,2021-03-13T05:36:04Z
18.00343,2021-03-13T05:36:14Z
17.00083,2021-03-13T05:36:54Z
19.99996,2021-03-13T05:38:55Z
18.00343,2021-03-13T05:39:15Z
19.99996,2021-03-13T05:41:06Z
18.00343,2021-03-13T05:41:16Z
19.0017,2021-03-13T05:41:46Z
19.99996,2021-03-13T05:41:56Z
18.00343,2021-03-13T05:42:36Z
19.0017,2021-03-13T05:42:56Z
19.99996,2021-03-13T05:43:27Z
18.00343,2021-03-13T05:44:17Z
19.99996,2021-03-13T05:45:48Z
18.00343,2021-03-13T05:47:28Z
19.0017,2021-03-13T05:47:38Z
19.99996,2021-03-13T05:48:28Z
19.0017,2021-03-13T05:48:59Z
19.99996,2021-03-13T05:49:09Z
18.00343,2021-03-13T05:49:39Z
19.99996,2021-03-13T05:49:49Z
19.0017,2021-03-13T05:50:49Z
19.99996,2021-03-13T05:51:09Z
18.00343,2021-03-13T05:51:30Z
19.0017,2021-03-13T05:52:50Z
18.00343,2021-03-13T05:53:20Z
19.99996,2021-03-13T05:54:21Z
18.00343,2021-03-13T05:56:11Z
19.0017,2021-03-13T05:56:21Z
17.00083,2021-03-13T05:57:12Z
18.00343,2021-03-13T05:58:02Z
17.00083,2021-03-13T05:58:32Z
18.00343,2021-03-13T05:59:33Z
17.00083,2021-03-13T06:00:33Z
18.00343,2021-03-13T06:01:53Z
17.00083,2021-03-13T06:02:24Z
18.00343,2021-03-13T06:03:04Z
17.00083,2021-03-13T06:03:14Z
18.00343,2021-03-13T06:03:44Z
17.00083,2021-03-13T06:04:14Z
18.00343,2021-03-13T06:05:05Z
17.00083,2021-03-13T06:05:25Z
18.00343,2021-03-13T06:12:48Z
17.00083,2021-03-13T06:12:58Z
18.00343,2021-03-13T06:14:18Z
17.00083,2021-03-13T06:14:38Z
21.00256,2021-03-13T06:16:09Z
22.00082,2021-03-13T06:16:39Z
21.00256,2021-03-13T06:16:59Z
22.00082,2021-03-13T06:17:49Z
21.00256,2021-03-13T06:18:30Z
22.00082,2021-03-13T06:19:30Z
21.00256,2021-03-13T06:20:51Z
22.00082,2021-03-13T06:22:01Z
21.00256,2021-03-13T06:22:21Z
21.00256,2021-03-13T06:22:41Z
22.00082,2021-03-13T06:23:21Z
21.00256,2021-03-13T06:24:22Z
22.00082,2021-03-13T06:25:22Z
21.00256,2021-03-13T06:26:13Z
19.99996,2021-03-13T06:29:44Z
21.00256,2021-03-13T06:30:14Z
19.99996,2021-03-13T06:30:24Z
21.00256,2021-03-13T06:30:44Z
19.99996,2021-03-13T06:35:16Z
21.00256,2021-03-13T06:35:36Z
22.00082,2021-03-13T06:40:38Z
NaN,2021-03-13T06:41:08Z
19.99996,2021-03-13T06:41:18Z
19.0017,2021-03-13T06:42:39Z
19.99996,2021-03-13T06:42:59Z
21.00256,2021-03-13T06:48:51Z
19.99996,2021-03-13T06:51:52Z
21.00256,2021-03-13T06:52:12Z
19.99996,2021-03-13T06:52:32Z
19.99996,2021-03-13T06:53:33Z
21.00256,2021-03-13T06:54:03Z
19.99996,2021-03-13T06:55:13Z
21.00256,2021-03-13T06:55:54Z
19.99996,2021-03-13T06:56:14Z
23.00342,2021-03-13T06:56:34Z
22.00082,2021-03-13T06:56:54Z
23.00342,2021-03-13T06:58:25Z
22.00082,2021-03-13T06:58:55Z
25.00429,2021-03-13T06:59:05Z
26.00255,2021-03-13T06:59:55Z
25.00429,2021-03-13T07:00:55Z
26.00255,2021-03-13T07:01:06Z
26.00255,2021-03-13T07:02:06Z
27.00081,2021-03-13T07:02:26Z
26.00255,2021-03-13T07:03:36Z
25.00429,2021-03-13T07:04:27Z
26.00255,2021-03-13T07:04:57Z
25.00429,2021-03-13T07:05:07Z
26.00255,2021-03-13T07:06:17Z
24.00168,2021-03-13T07:06:38Z
25.00429,2021-03-13T07:06:58Z
26.00255,2021-03-13T07:07:58Z
24.00168,2021-03-13T07:08:58Z
25.00429,2021-03-13T07:09:39Z
24.00168,2021-03-13T07:09:49Z
25.00429,2021-03-13T07:10:49Z
26.00255,2021-03-13T07:12:00Z
23.00342,2021-03-13T07:12:10Z
26.00255,2021-03-13T07:12:40Z
25.00429,2021-03-13T07:13:10Z
23.00342,2021-03-13T07:15:11Z
25.00429,2021-03-13T07:16:11Z
23.00342,2021-03-13T07:17:52Z
22.00082,2021-03-13T07:18:12Z
24.00168,2021-03-13T07:18:32Z
25.00429,2021-03-13T07:19:32Z
23.00342,2021-03-13T07:20:13Z
24.00168,2021-03-13T07:21:23Z
25.00429,2021-03-13T07:21:53Z
24.00168,2021-03-13T07:22:03Z
22.00082,2021-03-13T07:22:33Z
25.00429,2021-03-13T07:23:14Z
24.00168,2021-03-13T07:24:14Z
22.00082,2021-03-13T07:24:34Z
23.00342,2021-03-13T07:24:54Z
25.00429,2021-03-13T07:25:25Z
22.00082,2021-03-13T07:26:25Z
23.00342,2021-03-13T07:26:55Z
22.00082,2021-03-13T07:27:05Z
24.00168,2021-03-13T07:27:35Z
24.00168,2021-03-13T07:27:55Z
23.00342,2021-03-13T07:28:46Z
22.00082,2021-03-13T07:28:56Z
25.00429,2021-03-13T07:29:36Z
22.00082,2021-03-13T07:30:47Z
24.00168,2021-03-13T07:31:27Z
22.00082,2021-03-13T07:32:17Z
21.00256,2021-03-13T07:32:47Z
23.00342,2021-03-13T07:33:28Z
19.99996,2021-03-13T07:34:18Z
23.00342,2021-03-13T07:35:18Z
19.99996,2021-03-13T07:36:09Z
23.00342,2021-03-13T07:37:19Z
21.00256,2021-03-13T07:38:09Z
19.99996,2021-03-13T07:38:29Z
23.00342,2021-03-13T07:39:30Z
22.00082,2021-03-13T07:40:00Z
18.00343,2021-03-13T07:40:40Z
19.0017,2021-03-13T07:40:50Z
22.00082,2021-03-13T07:41:10Z
23.00342,2021-03-13T07:42:01Z
19.99996,2021-03-13T07:42:11Z
22.00082,2021-03-13T07:43:21Z
21.00256,2021-03-13T07:44:01Z
19.0017,2021-03-13T07:44:12Z
23.00342,2021-03-13T07:45:12Z
21.00256,2021-03-13T07:46:12Z
19.99996,2021-03-13T07:46:22Z
19.0017,2021-03-13T07:46:53Z
22.00082,2021-03-13T07:47:33Z
19.99996,2021-03-13T07:47:53Z
19.0017,2021-03-13T07:48:43Z
22.00082,2021-03-13T07:49:23Z
23.00342,2021-03-13T07:49:54Z
19.99996,2021-03-13T07:50:44Z
24.00168,2021-03-13T07:51:14Z
19.99996,2021-03-13T07:52:15Z
21.00256,2021-03-13T07:53:05Z
25.00429,2021-03-13T07:53:35Z
23.00342,2021-03-13T07:54:05Z
21.00256,2021-03-13T07:54:25Z
25.00429,2021-03-13T07:55:06Z
24.00168,2021-03-13T07:55:26Z
23.00342,2021-03-13T07:55:46Z
19.99996,2021-03-13T07:56:16Z
22.00082,2021-03-13T07:56:56Z
24.00168,2021-03-13T07:57:26Z
21.00256,2021-03-13T07:58:17Z
22.00082,2021-03-13T07:58:57Z
23.00342,2021-03-13T08:00:07Z
21.00256,2021-03-13T08:00:17Z
22.00082,2021-03-13T08:01:28Z
19.99996,2021-03-13T08:01:48Z
22.00082,2021-03-13T08:04:49Z
24.00168,2021-03-13T08:06:30Z
23.00342,2021-03-13T08:07:00Z
24.00168,2021-03-13T08:07:10Z
25.00429,2021-03-13T08:08:00Z
23.00342,2021-03-13T08:08:20Z
25.00429,2021-03-13T08:08:31Z
22.00082,2021-03-13T08:09:01Z
23.00342,2021-03-13T08:09:21Z
21.00256,2021-03-13T08:10:21Z
22.00082,2021-03-13T08:10:31Z
21.00256,2021-03-13T08:11:52Z
19.99996,2021-03-13T08:12:12Z
22.00082,2021-03-13T08:12:22Z
19.99996,2021-03-13T08:13:32Z
21.00256,2021-03-13T08:13:42Z
19.99996,2021-03-13T08:13:53Z
22.00082,2021-03-13T08:14:13Z
23.00342,2021-03-13T08:14:33Z
19.99996,2021-03-13T08:15:13Z
22.00082,2021-03-13T08:15:53Z
23.00342,2021-03-13T08:16:13Z
18.00343,2021-03-13T08:16:54Z
22.00082,2021-03-13T08:17:24Z
24.00168,2021-03-13T08:18:14Z
22.00082,2021-03-13T08:18:34Z
23.00342,2021-03-13T08:18:54Z
22.00082,2021-03-13T08:19:15Z
24.00168,2021-03-13T08:20:05Z
22.00082,2021-03-13T08:20:15Z
25.00429,2021-03-13T08:21:15Z
23.00342,2021-03-13T08:21:35Z
21.00256,2021-03-13T08:21:56Z
26.00255,2021-03-13T08:22:46Z
22.00082,2021-03-13T08:23:16Z
26.00255,2021-03-13T08:24:06Z
27.00081,2021-03-13T08:24:37Z
23.00342,2021-03-13T08:25:17Z
25.00429,2021-03-13T08:25:27Z
27.00081,2021-03-13T08:26:57Z
25.00429,2021-03-13T08:27:18Z
24.00168,2021-03-13T08:27:58Z
27.00081,2021-03-13T08:28:18Z
28.00341,2021-03-13T08:28:38Z
29.00167,2021-03-13T08:28:58Z
